date,value
10.08.19,11314.50
09.08.19,12089.80
08.08.19,12191.60
07.08.19,12013.90
06.08.19,11480.90
05.08.19,11816.80
04.08.19,10934.60
03.08.19,10815.70
02.08.19,10520.10
01.08.19,10380.00
31.07.19,10082.00
30.07.19,9580.70
29.07.19,9580.90
28.07.19,9727.80
27.07.19,9492.10
26.07.19,9831.00
25.07.19,9945.30
24.07.19,9804.30
23.07.19,9888.70
22.07.19,10412.50
21.07.19,10714.40
20.07.19,10826.70
19.07.19,10571.50
18.07.19,10651.40
17.07.19,9723.20
16.07.19,9424.80
15.07.19,10845.90
14.07.19,10200.10
13.07.19,11364.90
12.07.19,11762.10
11.07.19,11342.30
10.07.19,12110.60
09.07.19,12541.50
08.07.19,12252.60
07.07.19,11415.90
06.07.19,11268.00
05.07.19,10970.20
04.07.19,11163.10
03.07.19,11900.80
02.07.19,10835.90
01.07.19,10616.60
30.06.19,10818.60
29.06.19,11906.50
28.06.19,12409.10
27.06.19,11287.80
26.06.19,13063.80
25.06.19,11809.90
24.06.19,11046.40
23.06.19,10897.10
22.06.19,10721.70
21.06.19,10179.30
20.06.19,9517.00
19.06.19,9255.40
18.06.19,9080.60
17.06.19,9318.80
16.06.19,8962.50
15.06.19,8812.50
14.06.19,8656.10
13.06.19,8219.00
12.06.19,8133.10
11.06.19,7888.00
10.06.19,7987.80
09.06.19,7635.00
08.06.19,7901.40
07.06.19,7985.20
06.06.19,7784.90
05.06.19,7779.10
04.06.19,7685.50
03.06.19,8124.80
02.06.19,8728.60
01.06.19,8545.70
31.05.19,8558.30
30.05.19,8271.90
29.05.19,8647.80
28.05.19,8716.30
27.05.19,8760.10
26.05.19,8630.20
25.05.19,8027.40
24.05.19,7970.10
23.05.19,7852.10
22.05.19,7635.70
21.05.19,7930.30
20.05.19,7965.30
19.05.19,8157.20
18.05.19,7262.60
17.05.19,7359.50
16.05.19,7871.80
15.05.19,8164.60
14.05.19,7994.60
13.05.19,7806.00
12.05.19,6984.80
11.05.19,7190.30
10.05.19,6386.00
09.05.19,6191.50
08.05.19,5990.30
07.05.19,5849.50
06.05.19,5745.10
05.05.19,5774.90
04.05.19,5830.90
03.05.19,5766.80
02.05.19,5493.80
01.05.19,5384.20
30.04.19,5320.80
29.04.19,5235.00
28.04.19,5302.30
27.04.19,5265.90
26.04.19,5298.30
25.04.19,5209.10
24.04.19,5415.60
23.04.19,5511.60
22.04.19,5346.70
21.04.19,5243.50
20.04.19,5290.20
19.04.19,5241.00
18.04.19,5264.70
17.04.19,5208.30
16.04.19,5180.90
15.04.19,5032.30
14.04.19,5134.80
13.04.19,5051.80
12.04.19,5054.20
11.04.19,5022.60
10.04.19,5307.80
09.04.19,5158.40
08.04.19,5245.20
07.04.19,5173.60
06.04.19,5046.20
05.04.19,5010.20
04.04.19,4902.40
03.04.19,4968.70
02.04.19,4859.30
01.04.19,4145.10
31.03.19,4102.30
30.03.19,4111.80
29.03.19,4102.20
28.03.19,4025.60
27.03.19,4041.70
26.03.19,3942.80
25.03.19,3937.00
24.03.19,3994.70
23.03.19,4002.50
22.03.19,3990.40
21.03.19,3982.20
20.03.19,4041.20
19.03.19,4017.00
18.03.19,3990.20
17.03.19,3981.50
16.03.19,4006.40
15.03.19,3924.30
14.03.19,3879.00
13.03.19,3865.10
12.03.19,3886.00
11.03.19,3870.30
10.03.19,3915.20
09.03.19,3944.30
08.03.19,3865.90
07.03.19,3875.10
06.03.19,3863.00
05.03.19,3857.20
04.03.19,3715.90
03.03.19,3809.50
02.03.19,3823.10
01.03.19,3821.90
28.02.19,3816.60
27.02.19,3814.60
26.02.19,3810.30
25.02.19,3833.70
24.02.19,3755.20
23.02.19,4120.40
22.02.19,3965.20
21.02.19,3936.60
20.02.19,3972.40
19.02.19,3914.30
18.02.19,3896.00
17.02.19,3664.20
16.02.19,3616.80
15.02.19,3604.70
14.02.19,3592.60
13.02.19,3611.50
12.02.19,3632.00
11.02.19,3631.80
10.02.19,3679.00
09.02.19,3661.40
08.02.19,3661.70
07.02.19,3397.70
06.02.19,3404.30
05.02.19,3468.40
04.02.19,3462.80
03.02.19,3459.10
02.02.19,3502.50
01.02.19,3467.90
31.01.19,3437.20
30.01.19,3460.00
29.01.19,3414.80
28.01.19,3442.80
27.01.19,3555.60
26.01.19,3570.90
25.01.19,3572.00
24.01.19,3574.30
23.01.19,3561.50
22.01.19,3580.10
21.01.19,3536.70
20.01.19,3542.30
19.01.19,3677.80
18.01.19,3605.60
17.01.19,3626.40
16.01.19,3588.00
15.01.19,3571.30
14.01.19,3638.10
13.01.19,3490.20
12.01.19,3597.20
11.01.19,3616.50
10.01.19,3603.70
09.01.19,3978.00
08.01.19,3971.00
07.01.19,3985.90
06.01.19,4004.10
05.01.19,3785.40
04.01.19,3802.70
03.01.19,3780.10
02.01.19,3873.80
01.01.19,3809.40
31.12.18,3709.40
30.12.18,3815.00
29.12.18,3706.80
28.12.18,3861.60
27.12.18,3586.90
26.12.18,3793.70
25.12.18,3762.50
24.12.18,4026.10
23.12.18,3944.40
22.12.18,3964.40
21.12.18,3850.90
20.12.18,4076.00
19.12.18,3687.10
18.12.18,3668.00
17.12.18,3526.10
16.12.18,3247.90
15.12.18,3228.70
14.12.18,3247.80
13.12.18,3315.30
12.12.18,3466.10
11.12.18,3407.70
